mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_62706,CC1(O)C2C3C1CCN23,2.82932,1.72622,1.53588,2.6275,77.28,-0.2308,0.0688,0.2997,970.2679,0.172189,-403.118261,-403.110545,-403.109601,-403.14972,31.795
gdb_59588,CC(O)C1CC=C(C)C1,3.3866,0.9507,0.77415,1.2606,88.15,-0.2258,0.0344,0.2602,1537.7675,0.204818,-388.316231,-388.306208,-388.305264,-388.35112,37.797
gdb_40016,C1CC11OC2CC2C=C1,3.54712,1.44051,1.19515,1.0356,82.8,-0.2221,0.0149,0.237,1079.9675,0.160214,-385.86234,-385.854906,-385.853962,-385.894059,30.508
gdb_9077,CC(COC=O)C#N,6.04865,0.91494,0.83783,0.7869,63.35,-0.2967,-0.0103,0.2863,1284.2312,0.11717,-399.836072,-399.827326,-399.826382,-399.870522,29.317
gdb_55435,C1CN(C(=O)N1)C(=O)N,2.77012,1.53473,1.00681,6.9865,66.78,-0.2427,0.0214,0.2641,1117.8314,0.126712,-471.28519,-471.276843,-471.275899,-471.318905,30.359
gdb_37648,C1C2C3C4C5C1C2C5N34,3.19549,2.30586,2.05052,1.7923,75.34,-0.2228,0.0728,0.2956,776.4655,0.152382,-364.743589,-364.73832,-364.737376,-364.772787,24.212
gdb_4473,Cc1c(cc([nH]1)N)O,3.62868,1.68915,1.16628,1.9917,69.3,-0.1652,0.0553,0.2205,998.4169,0.130261,-379.952369,-379.9434,-379.942456,-379.986073,31.713
gdb_80549,CC1OC2C(O)C1C2O,2.91017,1.39418,1.23186,2.2121,70.81,-0.2257,0.0508,0.2765,1086.8928,0.159626,-460.129167,-460.121105,-460.120161,-460.161113,32.52
gdb_116480,CCC1OCCCC=C1,3.02009,1.13242,0.8737,1.1543,88.41,-0.2398,0.0149,0.2547,1409.5729,0.206526,-388.30075,-388.29143,-388.290486,-388.335841,35.456
gdb_31948,CCc1ccc([nH]1)CC,2.97373,0.97844,0.80511,1.7645,91.87,-0.1858,0.0465,0.2323,1537.2052,0.194663,-367.26864,-367.258719,-367.257775,-367.30445,36.402
gdb_121345,CC1CCCC1CCO,3.04213,0.85822,0.7462,1.3599,88.31,-0.2609,0.0746,0.3355,1630.1056,0.229845,-389.506751,-389.496457,-389.495513,-389.542399,38.263
gdb_63112,CC1(C)N2CCC12C#N,2.27059,1.67438,1.19385,4.5965,81.25,-0.2511,0.0001,0.2512,1101.472,0.158835,-382.04873,-382.039904,-382.03896,-382.081665,33.754
gdb_69617,CC12NC1C1(NC21)C#C,3.62756,1.19162,1.1497,2.7946,81.52,-0.2023,0.0239,0.2263,1137.0916,0.134125,-380.730502,-380.722294,-380.72135,-380.762817,32.481
gdb_85274,CC12OC1C(=O)CC2O,2.61937,1.5324,1.14981,2.0612,68.14,-0.2474,-0.0341,0.2132,1074.7514,0.134669,-458.975249,-458.966894,-458.96595,-459.008178,31.698
gdb_117243,COCC(=O)C1CN1C,4.20749,0.77152,0.74224,2.509,79.39,-0.2285,-0.0243,0.2042,1626.5387,0.167927,-440.248662,-440.238511,-440.237567,-440.28466,35.51
gdb_111741,COC1C2OCC12C=O,2.34118,1.39708,1.07646,2.6246,71.28,-0.2478,-0.0307,0.2171,1155.6125,0.133637,-458.907338,-458.898578,-458.897634,-458.941283,31.104
gdb_28690,c1c(oc(n1)CC#N)N,3.67772,1.06128,0.88796,3.8074,69.78,-0.2152,-0.0022,0.2129,1252.2852,0.102022,-432.9103,-432.902172,-432.901228,-432.943902,29.037
gdb_87025,CC1OC1(C#C)C(N)=O,2.15588,1.53228,1.07836,2.5299,71.99,-0.249,0.0023,0.2513,1147.148,0.121132,-437.867414,-437.857971,-437.857027,-437.901525,34.685
gdb_88034,CC1NC11COC1C#C,2.37638,1.35249,1.0723,1.9259,78.29,-0.2506,0.0118,0.2623,1192.7355,0.145713,-401.863101,-401.854111,-401.853166,-401.896985,33.361
gdb_86665,CC1(C)C(O)CN1C=O,2.42793,1.26289,1.04541,4.2621,77.37,-0.2372,0.0303,0.2675,1231.7069,0.168435,-440.300227,-440.290104,-440.28916,-440.335735,36.419
gdb_44737,O=C1CC2CC(N1)C=C2,2.95319,1.65159,1.4486,3.5925,75.36,-0.2353,0.0006,0.236,958.4474,0.151736,-402.000122,-401.993313,-401.992369,-402.031199,28.247
gdb_14526,CC1(CO1)C1CCC1,3.74719,1.57704,1.31346,1.7009,74.44,-0.2597,0.0876,0.3473,1012.2182,0.176785,-348.980283,-348.972132,-348.971188,-349.012777,31.019
gdb_84149,CC1=CC(O)C2CC2C1,2.36396,1.52233,1.05547,1.9732,84.27,-0.2369,0.0209,0.2578,1202.4388,0.183607,-387.099344,-387.090732,-387.089788,-387.132187,34.069
gdb_124719,CC(=Nc1ncon1)N,4.77888,1.04259,0.86584,4.5599,74.06,-0.2252,-0.019,0.2061,1262.0679,0.112964,-450.141072,-450.132603,-450.131659,-450.175751,29.936
gdb_57640,CC(O)(CC1CN1)C#N,3.34633,0.97437,0.92698,2.1962,76.14,-0.2516,0.0111,0.2627,1329.8137,0.158012,-419.188431,-419.178747,-419.177803,-419.223101,35.608
gdb_44367,O=C1CC2C3CC(N1)C23,3.39138,1.56291,1.30742,3.9003,74.58,-0.2341,0.0333,0.2674,989.9234,0.151133,-401.966472,-401.959567,-401.958623,-401.99787,28.243
gdb_128025,CN=CNc1[nH]ncn1,4.75457,0.99148,0.82458,4.3098,76.97,-0.2236,-0.0071,0.2165,1349.2854,0.127083,-430.281642,-430.273576,-430.272632,-430.314638,29.264
gdb_126747,CCc1ncn(n1)CC,4.35683,0.90766,0.81668,2.7642,82.47,-0.247,0.0167,0.2637,1497.8197,0.172254,-399.373999,-399.364704,-399.36376,-399.409227,33.156
gdb_98645,COC(=O)C1CC(=O)C1,5.51484,0.79043,0.78307,3.5632,70.92,-0.249,-0.0223,0.2267,1470.6479,0.133765,-459.004597,-458.995389,-458.994445,-459.040733,31.932
gdb_47119,N=C1NC(=CCO1)C#C,3.30237,1.26351,0.93358,2.8254,79.84,-0.2166,-0.0328,0.1837,1187.708,0.113096,-416.79669,-416.788635,-416.787691,-416.829476,30.396
gdb_55276,CC(=O)C1OCC1(C)C,2.35905,1.34508,1.16112,3.6068,78.58,-0.2344,-0.0194,0.2151,1202.6266,0.179073,-424.231923,-424.221654,-424.22071,-424.267725,36.922
gdb_72667,CC12CCC1(NC2)C#N,2.28103,1.50757,1.45879,3.4869,80.04,-0.2411,0.0097,0.2508,1052.067,0.159881,-382.055032,-382.046497,-382.045553,-382.087963,32.67
gdb_114713,CCC1OC2CC2C1=O,2.51919,1.44674,1.07154,2.0665,75.71,-0.2411,-0.0226,0.2185,1177.8092,0.158809,-423.037042,-423.028554,-423.02761,-423.070553,31.998
gdb_88577,CC1OC1C1=NCCN1,3.42244,1.09634,1.07459,2.1288,77.01,-0.2116,0.0223,0.234,1232.3459,0.160074,-419.203312,-419.194611,-419.193667,-419.237354,31.928
gdb_12795,CC12CCC=CC1O2,3.64896,2.02176,1.57415,1.7362,72.42,-0.2357,0.0037,0.2394,867.0639,0.154728,-347.811238,-347.804042,-347.803098,-347.842132,28.533
gdb_117082,CCOC(=N)C(C)(C)C,2.73795,0.98176,0.86958,1.1712,87.09,-0.256,0.0375,0.2935,1518.2857,0.214706,-405.576029,-405.564748,-405.563804,-405.612618,41.38
gdb_64372,CC1(O)CCCC11CC1,2.01587,1.79531,1.33878,1.4353,84.41,-0.2522,0.0689,0.3211,1109.8916,0.205742,-388.297579,-388.288247,-388.287303,-388.331117,36.905
gdb_88879,OC1CC1C1CCOC1,3.47957,0.99102,0.85546,2.6978,78.65,-0.2348,0.0745,0.3093,1390.5055,0.183129,-424.208726,-424.199631,-424.198687,-424.243795,33.485
gdb_111176,CCC1C2CN1C2C#N,2.70487,1.23999,0.98865,4.3143,81.0,-0.2509,0.0049,0.2558,1250.8339,0.160184,-382.003084,-381.99473,-381.993786,-382.036411,31.631
gdb_131764,C(c1c(non1)C#N)O,2.05855,1.79676,1.00948,3.2584,62.42,-0.3116,-0.0896,0.222,1073.1217,0.077397,-468.759853,-468.752125,-468.751181,-468.793145,26.834
gdb_106936,COC12CC1C(=O)NC2,4.02759,1.14498,1.02046,4.4607,72.58,-0.2384,0.0274,0.2659,1189.2128,0.148076,-439.103193,-439.094752,-439.093808,-439.136382,31.552
gdb_5318,CC(C)c1c[nH]cn1,4.3323,1.5128,1.21468,3.261,73.47,-0.2165,0.0366,0.2532,1021.574,0.155329,-344.034746,-344.026805,-344.025861,-344.067254,29.776
gdb_53020,CC#CC12CC3C(O1)C23,4.89514,0.95125,0.90733,1.8045,82.72,-0.2308,0.0241,0.2549,1342.2316,0.134835,-384.59611,-384.587982,-384.587038,-384.630248,30.3
gdb_132493,Cc1cc(cnc1C)F,3.02536,1.30831,0.92375,2.2998,78.86,-0.2408,-0.0221,0.2186,1215.3618,0.135535,-426.046574,-426.038335,-426.037391,-426.0793,31.017
gdb_4579,Cc1ncc(cn1)O,5.86019,1.55137,1.23599,2.1836,67.12,-0.2419,-0.0378,0.2041,930.9622,0.108177,-378.781068,-378.773951,-378.773007,-378.813025,25.954
gdb_78072,CC1C2C(C1O)N2C=O,3.79119,1.03059,0.87133,4.2128,75.11,-0.2429,0.0024,0.2453,1319.6128,0.145866,-439.052037,-439.043104,-439.04216,-439.085741,32.823
gdb_22473,CCC#CC(=NO)C#C,3.27929,0.73364,0.60399,0.9034,90.41,-0.2288,-0.0504,0.1783,1801.0594,0.120572,-400.647549,-400.63737,-400.636426,-400.684078,35.51
gdb_114361,CCC1OC2C(C)OC12,2.76063,1.25505,1.16832,0.9718,78.48,-0.2432,0.0681,0.3114,1205.9994,0.181723,-424.196403,-424.187459,-424.186515,-424.230165,33.716
gdb_65193,CC1(CO1)C1NC1C=O,2.6336,1.18921,1.09046,4.6533,73.23,-0.242,-0.0224,0.2196,1200.6049,0.145539,-439.044984,-439.03597,-439.035026,-439.079311,32.89
gdb_74657,CC1=NC2C3OC2C3O1,4.69996,1.40614,1.23565,1.6426,68.56,-0.2349,0.0059,0.2408,1000.9292,0.125321,-437.836117,-437.829318,-437.828373,-437.867254,26.907
gdb_119225,CC1NC1(CCO)C=O,2.05149,1.12052,0.81879,2.5328,77.12,-0.2539,-0.0369,0.2169,1443.5721,0.168837,-440.27025,-440.260038,-440.259094,-440.305946,36.332
gdb_71578,CC12CC3C1OC3(C)C2,3.15376,1.47665,1.44264,1.5165,81.85,-0.2321,0.0922,0.3243,1048.2618,0.182844,-387.067395,-387.05948,-387.058536,-387.099066,32.637
gdb_13230,C#CCCC1CCC1,7.20782,0.82581,0.78324,0.8621,81.58,-0.2561,0.0593,0.3154,1471.1136,0.17632,-311.82997,-311.821212,-311.820268,-311.863805,32.375
gdb_21669,NC1=NNN=CC1=N,3.53255,2.38996,1.42598,1.2477,67.92,-0.1994,-0.0343,0.1651,798.1841,0.098734,-390.952586,-390.945885,-390.944941,-390.98316,25.685
gdb_2165,CN1CCOC1=O,3.92324,3.19785,1.83245,4.7708,54.09,-0.2473,0.0552,0.3025,675.3106,0.115137,-361.764434,-361.757801,-361.756857,-361.795133,23.038
gdb_124390,CC(C#C)C1=CN=NN1,3.25664,1.23175,0.95337,4.7556,75.64,-0.2524,0.0027,0.255,1197.9684,0.124555,-396.896944,-396.888523,-396.887579,-396.931162,30.689
gdb_86973,CC1CC(CC=C1)C=O,2.66554,1.15891,0.90741,2.7525,85.07,-0.2438,-0.0195,0.2243,1334.9369,0.182861,-387.122653,-387.113653,-387.112709,-387.156811,33.834
gdb_76002,CC1(C#C)C(O)C1C#N,2.68563,1.19354,1.07636,3.3677,77.72,-0.2628,0.0005,0.2633,1171.9593,0.121148,-400.713068,-400.703459,-400.702514,-400.74724,34.803
gdb_11987,CC1(O)C2CC2C1O,2.6516,2.13731,1.77017,1.3948,67.08,-0.2474,0.0727,0.3202,850.7428,0.152425,-384.90716,-384.899012,-384.898068,-384.938893,31.767
gdb_82094,CC1C2CN2C1C1CO1,2.60983,1.55336,1.2702,1.1954,77.61,-0.2304,0.0785,0.3089,1077.2603,0.171346,-403.074333,-403.066033,-403.065089,-403.107179,31.949
gdb_38875,C1C2CCC3CC2OC13,2.61707,2.07185,1.85798,1.5469,78.6,-0.2428,0.0842,0.327,886.5676,0.188972,-387.107983,-387.10198,-387.101036,-387.137828,27.428
gdb_77667,CC12CCCC1(C)C2O,2.14562,1.56138,1.30866,1.2903,85.27,-0.2334,0.0729,0.3063,1148.4291,0.205573,-388.301029,-388.291473,-388.290528,-388.334357,37.382
gdb_80114,OC1C2C=CCC12C#C,2.75173,1.46923,1.24496,1.7578,80.47,-0.2287,-0.0008,0.2279,1054.5762,0.135359,-384.648632,-384.640617,-384.639673,-384.680708,31.914
gdb_113591,OCC1CC11COCO1,4.25609,0.9334,0.85957,1.5634,72.08,-0.2467,0.0689,0.3156,1363.98,0.158801,-460.130895,-460.121972,-460.121028,-460.165493,32.311
gdb_132952,FC1=CNC=C(F)C1=N,2.39575,1.72903,1.00425,6.3056,67.36,-0.2002,-0.017,0.1831,1040.618,0.089505,-502.014824,-502.007532,-502.006588,-502.046592,27.8
gdb_79567,CC12CN1C1C(O)C21O,2.3816,1.74552,1.29871,1.9234,71.95,-0.2178,0.0594,0.2771,1027.9967,0.145439,-438.982653,-438.973956,-438.973012,-439.015236,33.943
gdb_66999,CC12C3CC(OC1=N)C23,2.54045,2.06101,1.40156,3.068,76.4,-0.248,0.0283,0.2762,956.2902,0.149472,-401.944567,-401.937326,-401.936382,-401.975908,29.259
gdb_10801,C1C(=O)COC(=O)O1,5.22506,1.64005,1.30219,2.3749,51.04,-0.2731,-0.0561,0.217,849.0184,0.083641,-455.661402,-455.65474,-455.653796,-455.692943,23.548
gdb_21346,c1nnnn1CC#N,6.53947,1.36906,1.19367,3.762,55.82,-0.3014,-0.039,0.2624,911.2648,0.073556,-389.740401,-389.733867,-389.732923,-389.772769,21.939
gdb_60440,CC(O)CCOC(N)=O,4.63107,0.60265,0.55812,3.8058,72.87,-0.2618,0.0594,0.3212,1973.5231,0.168667,-477.470281,-477.459425,-477.458481,-477.508228,38.066
gdb_69445,CC12COC(C#N)C1O2,4.01675,1.21019,1.04427,5.9089,69.35,-0.2792,0.0124,0.2916,1135.9078,0.123641,-437.87943,-437.871333,-437.870389,-437.912235,29.782
gdb_31512,CCc1cc(c([nH]1)O)N,3.21312,1.03847,0.83435,1.0703,80.99,-0.1646,0.0531,0.2177,1410.5152,0.159128,-419.238252,-419.228326,-419.227382,-419.273191,36.353
gdb_130420,C(c1nc(no1)C#N)N,5.20504,0.92741,0.83774,5.7528,66.83,-0.274,-0.0718,0.2022,1307.3279,0.090469,-448.922028,-448.914046,-448.913102,-448.955938,27.498
gdb_90334,CC12OCC=C1CC2O,2.85688,1.52079,1.25951,2.3658,78.13,-0.227,0.0042,0.2311,1059.9516,0.158388,-422.996752,-422.988254,-422.98731,-423.029338,32.934
gdb_21222,CNc1cc(on1)N,5.49863,1.34952,1.10213,3.2931,65.44,-0.2014,0.0307,0.2321,1043.093,0.119888,-395.972302,-395.964448,-395.963504,-396.004543,28.712
gdb_110074,CCC1C(C#C)N1C=O,2.00863,1.37083,1.03801,3.7064,80.19,-0.2522,0.0009,0.2531,1241.8407,0.144773,-401.908419,-401.898741,-401.897796,-401.943262,34.562
gdb_69561,CC12OCC1C1(O)CC21,2.76228,1.527,1.37262,1.4612,74.59,-0.2424,0.0731,0.3155,1032.0742,0.158175,-422.966535,-422.958392,-422.957448,-422.998554,32.636
gdb_106682,COC12CC1(C)C(C)C2,2.61414,1.25111,1.06466,0.7591,87.02,-0.2374,0.093,0.3304,1291.3805,0.203793,-388.262601,-388.252573,-388.251629,-388.297151,37.752
gdb_94178,CC1OCC1(N)C(N)=O,2.49559,1.28547,1.21057,3.9281,71.78,-0.2356,0.0227,0.2584,1149.6878,0.159092,-456.357568,-456.348076,-456.347132,-456.391913,35.443
gdb_52913,CC#CC1(COC1)C#C,2.2609,1.12635,0.8492,1.8284,83.53,-0.2516,0.0252,0.2768,1403.7155,0.132724,-384.601781,-384.591814,-384.590869,-384.639508,34.205
gdb_128515,COc1c(c(n[nH]1)O)N,3.06587,1.3478,0.94643,1.2596,67.47,-0.2047,0.0501,0.2548,1179.3507,0.124812,-471.20239,-471.193045,-471.192101,-471.237777,33.031
gdb_112114,CC1CCC=CC1CO,2.59264,1.22232,0.97784,1.374,86.91,-0.2323,0.0321,0.2643,1312.0675,0.206921,-388.305959,-388.296618,-388.295674,-388.339621,36.253
gdb_41033,C1OC23C4CC2(C4)NC13,3.29041,1.8906,1.56327,0.4573,76.71,-0.2045,0.0588,0.2633,893.7541,0.149182,-401.788025,-401.781525,-401.780581,-401.818418,27.775
gdb_79947,CC1C2C(N=CN12)C#C,3.65489,1.23046,1.1494,2.2759,78.58,-0.244,-0.0073,0.2366,1118.4584,0.135873,-380.813725,-380.80566,-380.804715,-380.846225,30.891
gdb_12946,CC1C2OC(=O)C12N,2.68182,2.20047,1.68668,3.3244,61.17,-0.2453,0.0006,0.2459,830.8473,0.118586,-399.791415,-399.783893,-399.782949,-399.822928,28.166
gdb_61110,C#CC(CC#N)(C#C)O,2.43221,1.2636,1.02988,4.8326,73.76,-0.2856,-0.0115,0.2741,1167.9309,0.096215,-399.47347,-399.463751,-399.462807,-399.508008,34.773
gdb_84255,OC1C=C2CN3CC1C23,3.431,1.65863,1.43461,1.6442,77.2,-0.2095,-0.0056,0.2039,939.029,0.149777,-401.863765,-401.856874,-401.85593,-401.894671,28.548
gdb_49074,O=CC12COCC1CO2,2.48937,1.6531,1.31751,2.341,68.03,-0.2481,-0.0419,0.2062,1004.2357,0.136105,-458.952568,-458.944856,-458.943912,-458.985149,28.664
gdb_96167,OC1CCCN2CC2C1,2.61597,1.38895,0.99353,1.1085,82.06,-0.2217,0.0767,0.2984,1232.3934,0.196604,-404.330611,-404.322317,-404.321373,-404.362961,33.625
gdb_95937,CC1(CCCC1O)C=O,1.99711,1.52608,1.19607,2.9954,78.03,-0.2451,-0.0182,0.2269,1161.1153,0.181782,-424.251946,-424.242494,-424.24155,-424.286599,35.546
gdb_48227,C(=N)N(C=N)C(=O)C#N,2.76174,1.37746,0.9428,4.5273,70.14,-0.2874,-0.0869,0.2005,1147.0006,0.088855,-448.946737,-448.938088,-448.937144,-448.980854,29.517
gdb_30822,CCc1c(nc(o1)N)N,2.32725,1.37554,0.91299,0.7342,77.11,-0.1743,0.0407,0.215,1289.9368,0.148474,-435.311615,-435.302237,-435.301293,-435.345948,34.522
gdb_4542,Cc1cn(c(n1)C)C,3.77115,1.70485,1.20057,3.4364,75.94,-0.2027,0.0387,0.2414,1031.3012,0.153685,-344.041032,-344.032184,-344.03124,-344.074948,30.975
gdb_21600,C#Cc1c(con1)N,3.64929,1.9764,1.28388,3.9773,65.28,-0.222,-0.0339,0.1882,864.4765,0.083815,-377.472992,-377.465965,-377.46502,-377.504075,26.254
gdb_69268,CC12CN1C(=O)CCC2,2.52973,1.62116,1.2004,4.0415,79.2,-0.2377,0.0066,0.2442,1097.754,0.172221,-403.173223,-403.165,-403.164056,-403.205726,32.297
gdb_81096,CC1N2CC1(C=O)C2C,1.98954,1.55871,1.16599,2.0633,80.72,-0.2224,-0.0354,0.187,1172.9993,0.169462,-403.077445,-403.068217,-403.067273,-403.111672,34.087
gdb_131347,C1CN1c2[nH]nc(n2)O,4.39245,1.124,0.96158,3.3484,67.89,-0.2288,0.0145,0.2433,1181.4969,0.115013,-450.122771,-450.115219,-450.114275,-450.156212,27.998
gdb_105364,CCC1(CC1)CC2CC2,2.93568,0.92458,0.83444,0.2886,92.62,-0.26,0.0877,0.3478,1556.4191,0.228458,-352.333935,-352.323793,-352.322849,-352.369781,38.584
gdb_104869,CCC1(CO)COC=N1,2.08377,1.53172,1.17131,1.237,74.75,-0.2523,0.0149,0.2672,1158.1229,0.171346,-440.300674,-440.291491,-440.290547,-440.334826,33.989
gdb_25013,N=C1NC(=CO1)C1CC1,4.21159,1.0568,0.90554,3.9082,77.53,-0.1865,0.0319,0.2183,1279.5155,0.136913,-418.018357,-418.010153,-418.009209,-418.051686,30.851
gdb_49825,O=CC1CC(=O)C11CN1,2.65851,1.35503,1.00169,1.346,72.33,-0.2509,-0.0447,0.2063,1148.89,0.1224,-437.866559,-437.858123,-437.857179,-437.900594,30.357
gdb_21477,N=COC1=NON=N1,8.64802,1.26383,1.1046,2.8377,52.04,-0.3004,-0.0862,0.2142,953.5751,0.059687,-446.703838,-446.697327,-446.696383,-446.735896,21.722
gdb_14933,C1COCC=C1C=O,4.69249,1.44055,1.144,2.615,69.78,-0.2523,-0.0561,0.1962,1001.9105,0.131292,-383.761698,-383.75455,-383.753605,-383.79326,26.496
gdb_34418,N#CC12COC1CCC2,2.32431,1.67523,1.2594,3.1914,75.22,-0.2686,0.0191,0.2876,1048.5046,0.149827,-401.959779,-401.952068,-401.951124,-401.992288,29.412
gdb_89877,CC1CC2(C1)OC2C=O,2.77748,1.09298,0.92267,3.0501,77.22,-0.257,-0.0397,0.2173,1322.3856,0.15687,-423.008559,-422.999608,-422.998664,-423.04289,33.14
gdb_110782,COC1C2CC(=O)NC12,2.60756,1.47017,1.25053,4.2636,72.03,-0.229,0.0333,0.2623,1075.2299,0.148463,-439.1008,-439.092581,-439.091636,-439.133892,30.891
gdb_71405,CC12CN3C1C2C31CC1,3.90532,1.31781,1.27711,1.7987,83.54,-0.2175,0.084,0.3015,1094.6317,0.171104,-365.923113,-365.915381,-365.914437,-365.954776,31.639
gdb_88608,CC1CC1C1C2CC1C2,3.45453,1.12549,1.02066,0.208,89.82,-0.2605,0.0892,0.3496,1295.0657,0.207096,-351.089177,-351.080771,-351.079827,-351.122484,33.515
gdb_113126,CCN1CC1(C#C)C#N,2.33683,1.23394,0.93063,4.886,81.47,-0.2566,-0.007,0.2496,1294.876,0.133302,-380.814964,-380.805484,-380.80454,-380.849383,34.404
gdb_125194,Cc1c2c(nc[nH]2)no1,3.59308,1.62961,1.12901,6.6435,70.79,-0.2248,-0.0313,0.1934,1002.6951,0.103023,-432.869501,-432.862325,-432.861381,-432.901577,26.491
gdb_72574,OC12COC(C1)OC2=N,2.54524,1.98646,1.51402,1.4059,64.31,-0.2701,0.0148,0.285,894.2763,0.126464,-475.040797,-475.03393,-475.032986,-475.071736,27.964
gdb_40585,C1CC1C1C2C3CC2C13,5.35555,0.98796,0.9716,0.0801,87.79,-0.2604,0.098,0.3583,1310.5053,0.183997,-349.862474,-349.855031,-349.854087,-349.894653,30.283
gdb_53727,CC(=O)C#CC(C)(C)C,3.12398,0.72201,0.67705,3.5664,91.08,-0.2513,-0.0432,0.2081,1794.3431,0.17793,-387.097433,-387.086036,-387.085092,-387.136745,39.958
gdb_8342,N#CCC12CC(C1)C2,4.80158,1.39253,1.31717,3.8904,72.59,-0.3048,0.0349,0.3397,968.5977,0.143719,-326.696848,-326.689831,-326.688887,-326.728487,26.868
gdb_50912,O=CCC(C#C)C1CN1,2.3863,1.10513,0.83497,3.6413,78.46,-0.2501,-0.0323,0.2178,1372.5322,0.145012,-401.88874,-401.879153,-401.878208,-401.924259,34.07
gdb_6300,CC(CC(C)=O)C#N,4.12541,1.09487,0.96754,3.8492,69.33,-0.2652,-0.0303,0.2349,1215.6047,0.139519,-363.908873,-363.899529,-363.898584,-363.943633,32.182
gdb_54438,CC(=O)C12CC1C(=O)N2,3.46955,1.22935,1.01526,2.1124,70.87,-0.253,-0.038,0.215,1150.233,0.122944,-437.901085,-437.892772,-437.891828,-437.934412,30.743
gdb_47392,O=C1OCCC(O1)C#N,2.77331,1.41394,1.16508,5.4616,62.37,-0.2999,-0.0101,0.2898,1041.5645,0.101821,-473.870347,-473.862714,-473.86177,-473.903394,27.286
gdb_67063,OC12C3CC1(C3)CC2=O,2.84394,1.70924,1.48059,3.6409,73.88,-0.233,-0.0263,0.2067,938.9946,0.134858,-421.719397,-421.711895,-421.710951,-421.750938,30.193
gdb_116785,COC=NCC1CC1O,3.05737,0.84774,0.74732,3.8478,79.26,-0.237,0.0323,0.2693,1583.7645,0.168504,-440.249246,-440.238848,-440.237904,-440.286151,36.091
gdb_29937,Cn1cnc(c1C=O)N,2.37865,1.74056,1.01201,3.6552,77.68,-0.2002,-0.0342,0.166,1116.616,0.125705,-434.128486,-434.120049,-434.119105,-434.161343,30.956
gdb_26269,CC(C)c1ccccn1,3.40404,1.10923,1.0231,1.7009,88.43,-0.2462,-0.0174,0.2288,1279.8136,0.172497,-366.084926,-366.076293,-366.075349,-366.118987,32.594
gdb_87974,CC1OC11CCC(C)C1,3.81189,0.97776,0.88105,1.6858,86.2,-0.25,0.0831,0.3331,1440.8913,0.205336,-388.304052,-388.294613,-388.293669,-388.338372,36.174
gdb_31519,CCc1nc(c(o1)C)C,3.02112,1.1203,0.87385,1.4837,83.97,-0.2152,0.0172,0.2325,1405.7671,0.169878,-403.21372,-403.203863,-403.202919,-403.249086,34.974
gdb_51875,N=COC1COCOC1,4.50032,0.8781,0.7761,1.6148,71.15,-0.2564,0.0178,0.2741,1436.1759,0.148569,-476.211506,-476.203068,-476.202124,-476.24654,30.407
gdb_83373,OC1C2OCC1(O)CO2,2.20334,2.03128,1.59038,1.0436,61.8,-0.2505,0.0578,0.3083,905.3916,0.137329,-496.091425,-496.084063,-496.083119,-496.122738,29.729
gdb_8357,CC#CC12CN(C1)C2,6.35895,1.03127,1.03123,2.301,79.17,-0.2371,0.0435,0.2806,1210.7614,0.142673,-326.623617,-326.615867,-326.614923,-326.657678,28.108
gdb_3288,CC1CC2COC12,4.53168,2.64487,2.13072,1.6825,63.36,-0.2396,0.0742,0.3138,684.7706,0.149365,-309.68596,-309.679486,-309.678542,-309.716218,24.72
gdb_98414,CCC(=O)C1(O)CC1O,2.61087,1.21762,0.96043,3.4077,73.58,-0.2347,-0.0239,0.2108,1283.8955,0.155822,-460.16752,-460.157748,-460.156804,-460.202226,36.392
gdb_68218,CC12CC(O1)C1(CN1)C2,3.68846,1.31039,1.24068,2.2806,79.02,-0.2369,0.0805,0.3174,1101.0262,0.171824,-403.106832,-403.099028,-403.098084,-403.138681,31.751
gdb_31834,Cc1ccc(nc1)NC,4.92239,0.98626,0.83164,1.7002,90.27,-0.1947,-0.0075,0.1872,1409.4742,0.160737,-382.141737,-382.132736,-382.131792,-382.175833,32.929
gdb_514,C(C#CC#N)O,28.35195,1.3265,1.27733,5.7112,52.46,-0.2849,-0.0526,0.2323,831.3517,0.060584,-284.062954,-284.056563,-284.055619,-284.092997,20.574
gdb_127787,CN1N=NC=C(C)C1=N,2.4869,1.81183,1.062,1.2257,80.8,-0.2278,-0.0611,0.1667,1103.6979,0.136721,-414.178122,-414.169862,-414.168918,-414.210783,31.0
gdb_62995,CC1(O)C2CC2C1C=O,2.13636,1.63639,1.24727,1.6171,75.26,-0.239,-0.0292,0.2098,1083.6583,0.156595,-423.003349,-422.994291,-422.993347,-423.037255,34.23
gdb_94320,CC1COC11CC1(C)O,2.56731,1.35134,1.10325,2.4505,79.34,-0.2203,0.0682,0.2886,1207.8674,0.179561,-424.190648,-424.180813,-424.179869,-424.225163,36.897
gdb_30066,Cn1cccc1CC#C,3.03368,1.24712,1.00292,1.7236,84.68,-0.1994,0.0371,0.2365,1211.9457,0.147374,-364.81341,-364.804445,-364.8035,-364.847449,33.157
gdb_90152,CC1CC23CCCC12N3,2.74593,1.55951,1.35589,1.5038,84.92,-0.222,0.0829,0.305,1081.2007,0.196867,-367.18402,-367.176137,-367.175193,-367.215836,32.596
